Тип,Название,Дочитки,СВД,ПД,Просмотры,CTR,Показы,Комменты,Подписки,Лайки,Символы в заголовке,День недели,Будни/выходные,Колво символов в тексте,
Подборка,Самые уродливые персонажи в аниме,53140,83,94,56813,12.1,488031,126,60,910,33,Вс,7,2585,
Подборка,Аниме персонажи. которые выглядят слабаками. но по факту очень сильны,36463,78,94,38872,10.5,329410,102,39,684,69,Вс,7,3064,
Обзор,Аниме. которому я поставил 10/10 после первых серий,29165,78,85,34310,10.7,317300,76,33,548,51,Пн,1,2929,
Размышления,Японские школьники: отличия от аниме и России,28094,130,90,31253,9.8,320751,113,70,827,45,Пт,5,3199,
Подборка,Реально годные. но малоизвестные аниме,27876,74,94,29588,9.8,269356,50,54,780,38,Пн,1,2914,
Подборка,Самые токсичные пары в аниме,27755,73,96,28795,8.3,241803,76,34,599,28,Пт,5,2952,
Подборка,Бредовые аниме,25858,78,92,28021,10.4,272359,65,30,517,14,Вс,7,2855,
Подборка,Аниме для взрослых,25389,76,87,29080,9.1,182965,25,70,390,18,Вт,2,3062,
Подборка,Аниме. которые тяжело посмотреть,24451,67,92,26601,7.6,215037,49,79,389,32,Ср,3,2681,
Подборка,Неоднозначные аниме: вроде шедевр. а вроде позор,22333,67,90,24880,8.6,216276,47,42,452,48,Пт,5,2900,
Подборка,ТОП 5 Аниме с шедевральным сюжетом,22255,89,86,25972,8.9,123613,46,23,215,34,Пт,5,3223,
Подборка,5 видов анимешников,21976,136,92,23835,9.4,218109,152,79,538,19,Вс,7,2555,
Подборка,Парень или девушка? Аниме персонажи. которые вводят в недоумение,20807,104,92,22688,8.4,248567,91,51,632,64,Чт,4,2788,
Подборка,Взрослые аниме. которые тяжело понять детям,20450,85,88,23175,10.6,168543,31,32,436,43,Вс,7,3212,
Подборка,Идеальные концовки в аниме,20368,68,94,21654,8.2,215304,71,18,391,26,Ср,3,3663,
Подборка,Самые популярные романтические аниме в России,20265,77,91,22267,7.1,252956,77,42,441,45,Вт,2,3259,
Подборка,Самые популярные аниме в России: фантастика,19982,82,93,21437,12.2,223891,39,48,363,43,Ср,3,3044,
Подборка,Абсурдные аниме,18938,51,94,20124,10.1,203600,42,18,451,15,Чт,4,2660,
Подборка,Самые популярные Этти аниме в России,18908,73,92,20442,8.6,204459,52,31,409,36,Чт,4,3200,
Подборка,Нешаблонные аниме,17454,78,92,18967,8.6,195699,81,29,417,17,Ср,3,2750,
Подборка,Аниме персонажи от которых бомбит,17134,82,90,18940,10.1,120780,42,50,273,33,Чт,4,3070,
Размышления,Как анимешнику найти девушку: объясняет девушка,17070,153,84,20236,8.4,188297,88,61,455,47,Ср,3,3165,
Подборка,Клише в аниме. на которые мне уже тошно смотреть,16746,80,95,17614,7.2,229174,94,25,421,48,Вс,7,2810,
Размышления,5 cтадий развития анимешника в России,16603,85,88,18860,9.1,134991,111,39,438,37,Сб,6,2655,
Подборка,Малоизвестные аниме. которые стоит посмотреть,15842,75,92,17312,7.1,149260,22,62,452,45,Вс,7,2899,
Подборка,Что посмотреть из аниме? Советую годноту,15286,57,95,16079,7.9,164177,40,25,418,40,Ср,3,2853,
Подборка,Горячие этти аниме. которые выходят сейчас,15103,64,89,16961,6.9,195818,15,21,333,42,Ср,3,3049,
Обзор,Аморальное аниме,14922,87,85,17485,9.7,126301,11,29,226,16,Пт,5,3046,
Размышления,Японцы любят убогие аниме? Разбираемся с рейтингами аниме в Японии,14859,92,85,17473,8.5,183763,114,6,354,66,Сб,6,3061,
Размышления,Как голливудские фильмы копируют аниме: самые яркие примеры,14823,99,93,15953,7.9,214066,32,29,420,59,Сб,6,2271,
Подборка,Самые ожидаемые аниме 2019,14801,74,89,16584,8.1,92475,61,24,203,26,Ср,3,2771,
Размышления,4 плюса жизни в Японии,14788,107,93,15976,7.5,207326,72,86,485,22,Ср,3,2471,
Подборка,Самые популярные фэнтези аниме в России,14750,73,92,16005,8.9,185154,17,18,363,39,Пт,5,2574,
Размышления,Что на самом деле значит Сэмпай: значение японских суффиксов почетности,14624,103,90,16176,9.1,153554,30,35,854,71,Вс,7,2340,
Обзор,По-настоящему горячее аниме. Обзор Домекано,14528,116,80,18153,8.3,178487,21,23,359,43,Вс,7,3709,
Подборка,Хайповые аниме 2018 года,14508,126,90,16081,8.9,149476,33,41,266,24,Пн,1,3133,
Подборка,Распространненые мифы о Японии,14159,125,92,15312,9.7,169804,46,17,648,30,Пн,1,3252,
Подборка,Лучшие аниме девушки весны 2019,14098,79,89,15887,7.2,185939,21,20,398,31,Чт,4,3256,
Подборка,Аниме персонажи. силу которых тяжело контролировать,13532,79,96,14110,9.8,173836,65,17,376,51,Вт,2,3175,
Размышления,Идеальный главный герой в аниме: от джентльмена до эгоиста,13386,82,93,14433,8.9,153850,55,18,263,58,Сб,6,3000,
Подборка,Романтические аниме. которые поймут только взрослые,13293,74,90,14775,8.8,145927,27,33,365,51,Пт,5,3349,
Подборка,Аниме. которые не оправдали ожидания,13255,74,94,14054,9.1,145651,39,29,236,36,Вт,2,2723,
Обзор,Аниме. которое понравилось всем. кроме меня,13202,52,70,18792,10.2,190846,56,25,271,43,Вт,2,3877,
Подборка,Стереотипы об анимешниках,13047,99,92,14198,6.8,120702,70,53,353,25,Вс,7,3877,
Подборка,5 видов анимешников,12384,109,86,14397,8.7,171127,74,16,305,19,Ср,3,2535,
Подборка,Самые привлекательные учительницы в аниме,12373,67,94,13151,8.1,113486,29,13,382,41,Вс,7,3023,
Подборка,Аниме с которых стоит начать новичку,12252,81,93,13196,6.1,84418,70,45,211,36,Ср,3,2662,
Подборка,Лучшие девушки в аниме,12235,65,92,13333,7.1,137707,41,16,270,22,Пт,5,2677,
Подборка,Аниме которые не дадут заскучать,12147,70,93,13056,5.1,117487,26,46,323,32,Чт,4,2893,
Подборка,Самые популярные Этти аниме в России,11870,75,93,12728,7.4,104398,42,39,279,36,Пт,5,2598,
Подборка,Самые странные перевоплощения попаданцев в исекай аниме и манге,11857,80,96,12407,9.1,155255,57,11,285,63,Вт,2,3376,
Подборка,ТОП 5 Аниме с шедевральным сюжетом #2,11602,106,93,12506,7.4,117681,30,17,182,37,Чт,4,2594,
Подборка,Аниме достойные голливудской экранизации,11334,85,94,12053,9.1,122793,58,10,184,40,Чт,4,3108,
Размышления,Что значит Лайфу. Исекай. Манхва,11258,74,67,16903,9.3,66822,5,35,267,32,Сб,6,2450,
Подборка,Самые ожидаемые аниме весны 2019,11018,89,92,11964,9.3,148989,26,18,247,32,Чт,4,2638,
Подборка,Самые странные и эксцентричные девушки в аниме,10826,91,90,12015,9.4,221040,37,11,403,46,Пн,1,2937,
